구이름,동이름,공영민영개수총합계,공영민영면적총합계,공영개수,공영면수,민영개수,민영면수,노상총개수,노상총면수,노상시영개수,노상시영면수,노상구영개수,노상구영면수,노외총합개수,노외총합면수,노외시영개수,노외시영면수,노외구영개수,노외국영면수,노외민영개수,노외민영면수,건축물총개수,건축물총면적,일반주택개수,일반주택면적,공동주택개수,공동주택면적,일반건축물개수,일반건축물면적
노원구,상계2동,432,8349,13,267,419,8082,9,142,-,-,9,142,5,152,-,-,4,125,1,27,418,8055,119,274,118,4693,181,3088
노원구,상계5동,642,4947,15,215,627,4732,11,148,-,-,11,148,4,67,-,-,4,67,-,-,627,4732,296,808,164,3117,167,807
노원구,상계8동,28,5101,2,26,26,5075,2,26,-,-,2,26,-,-,-,-,-,-,-,-,26,5075,3,273,3,4367,20,435
노원구,상계9동,34,5906,2,23,32,5883,2,23,-,-,2,23,-,-,-,-,-,-,-,-,32,5883,5,315,4,3997,23,1571
노원구,상계10동,29,6856,3,76,26,6780,3,76,-,-,3,76,-,-,-,-,-,-,-,-,26,6780,2,217,6,6105,18,458
노원구,상계3.4동,574,7769,15,322,559,7447,9,95,1,23,8,72,8,263,-,-,6,227,2,36,557,7411,165,463,278,6131,114,817
노원구,상계6.7동,146,11812,9,425,137,11387,8,176,-,-,8,176,1,249,-,-,1,249,-,-,137,11387,3,181,10,7270,124,3936
노원구,중계2.3동,36,9352,2,251,34,9101,-,-,-,-,-,-,2,251,-,-,2,251,-,-,34,9101,2,52,9,5821,23,3228
노원구,공릉1동,1224,14082,39,418,1185,13664,35,362,-,-,35,362,6,74,-,-,4,56,2,18,1183,13646,463,1262,359,9279,361,3105
은평구,소계,18263,176603,141,5160,18122,171443,111,2856,1,14,110,2842,68,3062,1,399,29,1905,38,758,18084,170685,6744,12568,7733,114433,3607,43684
은평구,녹번동,1380,12606,8,313,1372,12293,6,166,-,-,6,166,3,167,-,-,2,147,1,20,1371,12273,328,541,764,8257,279,3475
은평구,불광1동,1048,12620,10,285,1038,12335,7,219,-,-,7,219,7,108,-,-,3,66,4,42,1034,12293,334,581,510,9573,190,2139
은평구,갈현1동,1364,5483,7,212,1357,5271,6,151,-,-,6,151,2,95,-,-,1,61,1,34,1356,5237,549,612,569,3214,238,1411
은평구,갈현2동,1631,9867,10,303,1621,9564,9,267,-,-,9,267,1,36,-,-,1,36,-,-,1621,9564,622,1174,712,6443,287,1947
은평구,구산동,1415,10833,11,342,1404,10491,9,255,-,-,9,255,2,87,-,-,2,87,-,-,1404,10491,515,1103,703,7706,186,1682
은평구,대조동,1412,9260,7,125,1405,9135,7,125,-,-,7,125,5,66,-,-,-,-,5,66,1400,9069,488,903,634,5465,278,2701
은평구,응암1동,942,15599,9,252,933,15347,7,164,-,-,7,164,5,137,-,-,2,88,3,49,930,15298,273,544,418,8339,239,6415
은평구,응암2동,290,9913,9,120,281,9793,8,99,-,-,8,99,1,21,-,-,1,21,-,-,281,9793,116,193,101,6766,64,2834
은평구,신사1동,1140,8841,7,242,1133,8599,5,119,-,-,5,119,4,154,-,-,2,123,2,31,1131,8568,363,778,581,6650,187,1140
은평구,신사2동,930,5669,6,300,924,5369,3,78,-,-,3,78,3,222,-,-,3,222,-,-,924,5369,431,770,282,3622,211,977
